subject,pred,gold,correct
anatomy,D,D,1
anatomy,A,A,1
anatomy,A,A,1
anatomy,B,B,1
anatomy,D,D,1
anatomy,B,B,1
anatomy,B,B,1
anatomy,A,D,0
anatomy,C,C,1
anatomy,B,B,1
anatomy,C,C,1
anatomy,B,B,1
anatomy,B,D,0
anatomy,D,B,0
anatomy,C,C,1
anatomy,C,C,1
anatomy,A,A,1
anatomy,B,A,0
anatomy,A,A,1
anatomy,D,D,1
anatomy,B,A,0
anatomy,C,C,1
anatomy,D,D,1
astronomy,A,A,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,D,C,0
astronomy,D,D,1
astronomy,C,C,1
astronomy,B,B,1
astronomy,B,B,1
astronomy,B,D,0
astronomy,D,D,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,A,A,1
astronomy,D,D,1
astronomy,B,B,1
astronomy,C,C,1
astronomy,C,C,1
astronomy,D,A,0
astronomy,D,D,1
astronomy,C,C,1
astronomy,D,D,1
astronomy,D,D,1
astronomy,B,D,0
astronomy,B,B,1
astronomy,C,C,1
astronomy,D,D,1
astronomy,D,C,0
astronomy,D,D,1
astronomy,A,B,0
astronomy,C,C,1
astronomy,B,B,1
astronomy,C,C,1
astronomy,D,D,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,D,D,1
astronomy,A,A,1
astronomy,C,C,1
astronomy,B,B,1
astronomy,B,B,1
astronomy,D,C,0
astronomy,D,D,1
astronomy,A,A,1
astronomy,D,A,0
astronomy,D,C,0
astronomy,D,D,1
astronomy,D,D,1
astronomy,A,A,1
astronomy,C,C,1
astronomy,B,B,1
astronomy,A,A,1
astronomy,N/A,D,0
astronomy,D,D,1
astronomy,D,A,0
astronomy,A,D,0
astronomy,C,C,1
astronomy,D,D,1
astronomy,D,D,1
astronomy,D,C,0
astronomy,D,D,1
astronomy,C,D,0
astronomy,D,D,1
astronomy,C,B,0
astronomy,D,A,0
astronomy,D,C,0
astronomy,D,C,0
astronomy,D,B,0
astronomy,D,B,0
astronomy,D,B,0
astronomy,C,C,1
astronomy,B,B,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,D,D,1
astronomy,D,C,0
astronomy,C,C,1
astronomy,C,A,0
astronomy,B,A,0
astronomy,A,B,0
astronomy,D,C,0
astronomy,A,C,0
astronomy,D,C,0
astronomy,A,A,1
astronomy,A,A,1
astronomy,A,A,1
astronomy,A,A,1
astronomy,C,C,1
astronomy,B,B,1
astronomy,A,C,0
astronomy,D,D,1
astronomy,D,D,1
astronomy,A,B,0
astronomy,A,A,1
astronomy,A,D,0
astronomy,D,A,0
astronomy,B,B,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,D,C,0
astronomy,C,C,1
astronomy,A,A,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,A,A,1
astronomy,B,B,1
astronomy,B,C,0
astronomy,D,D,1
astronomy,B,B,1
astronomy,B,B,1
astronomy,D,D,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,C,A,0
astronomy,D,D,1
astronomy,A,D,0
astronomy,C,C,1
astronomy,A,A,1
astronomy,D,D,1
astronomy,A,B,0
astronomy,B,B,1
astronomy,D,C,0
astronomy,D,D,1
astronomy,D,D,1
astronomy,D,D,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,A,A,1
astronomy,C,B,0
astronomy,C,C,1
astronomy,B,B,1
astronomy,D,D,1
astronomy,B,D,0
astronomy,A,C,0
astronomy,D,D,1
astronomy,D,D,1
astronomy,C,C,1
astronomy,A,A,1
astronomy,C,C,1
astronomy,C,C,1
astronomy,A,A,1
astronomy,B,B,1
astronomy,D,D,1
astronomy,D,B,0
astronomy,A,A,1
astronomy,B,D,0
astronomy,A,A,1
astronomy,C,C,1
astronomy,B,B,1
business_ethics,A,C,0
business_ethics,B,B,1
business_ethics,D,D,1
business_ethics,D,D,1
business_ethics,B,B,1
business_ethics,B,B,1
business_ethics,A,B,0
business_ethics,A,A,1
business_ethics,A,B,0
business_ethics,C,C,1
business_ethics,C,C,1
business_ethics,C,C,1
business_ethics,D,D,1
business_ethics,B,B,1
business_ethics,D,D,1
business_ethics,B,B,1
business_ethics,A,A,1
business_ethics,C,C,1
business_ethics,C,C,1
business_ethics,N/A,A,0
business_ethics,A,A,1
business_ethics,B,B,1
business_ethics,C,C,1
business_ethics,A,A,1
business_ethics,A,A,1
business_ethics,B,B,1
business_ethics,B,B,1
business_ethics,C,C,1
business_ethics,B,D,0
business_ethics,D,D,1
business_ethics,A,A,1
business_ethics,A,A,1
business_ethics,A,D,0
business_ethics,A,A,1
business_ethics,D,D,1
business_ethics,C,C,1
business_ethics,A,B,0
business_ethics,D,D,1
business_ethics,C,C,1
business_ethics,B,B,1
business_ethics,N/A,D,0
business_ethics,C,A,0
business_ethics,A,A,1
business_ethics,B,B,1
business_ethics,B,B,1
business_ethics,D,D,1
business_ethics,A,C,0
business_ethics,A,A,1
business_ethics,B,D,0
business_ethics,B,B,1
business_ethics,A,A,1
business_ethics,B,B,1
business_ethics,D,D,1
business_ethics,C,C,1
business_ethics,C,A,0
business_ethics,N/A,C,0
business_ethics,C,C,1
business_ethics,A,A,1
business_ethics,B,C,0
business_ethics,D,D,1
business_ethics,D,D,1
business_ethics,D,A,0
business_ethics,A,B,0
business_ethics,A,A,1
business_ethics,A,A,1
business_ethics,D,A,0
business_ethics,D,D,1
business_ethics,A,A,1
business_ethics,A,A,1
business_ethics,N/A,A,0
business_ethics,A,B,0
business_ethics,D,B,0
business_ethics,A,A,1
business_ethics,C,C,1
business_ethics,B,B,1
business_ethics,D,C,0
business_ethics,D,A,0
business_ethics,D,C,0
business_ethics,A,A,1
business_ethics,A,A,1
business_ethics,C,B,0
business_ethics,A,C,0
business_ethics,D,D,1
business_ethics,C,D,0
business_ethics,N/A,C,0
business_ethics,C,C,1
business_ethics,A,C,0
business_ethics,A,A,1
business_ethics,B,B,1
business_ethics,B,B,1
business_ethics,N/A,B,0
business_ethics,N/A,A,0
business_ethics,A,D,0
business_ethics,D,D,1
business_ethics,N/A,B,0
business_ethics,A,A,1
business_ethics,C,C,1
business_ethics,D,A,0
business_ethics,D,D,1
business_ethics,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,A,B,0
clinical_knowledge,C,B,0
clinical_knowledge,D,D,1
clinical_knowledge,D,B,0
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,D,D,1
clinical_knowledge,A,C,0
clinical_knowledge,D,D,1
clinical_knowledge,D,B,0
clinical_knowledge,C,B,0
clinical_knowledge,B,B,1
clinical_knowledge,C,C,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,B,B,1
clinical_knowledge,D,B,0
clinical_knowledge,B,B,1
clinical_knowledge,C,D,0
clinical_knowledge,B,A,0
clinical_knowledge,C,B,0
clinical_knowledge,D,C,0
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,D,B,0
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,A,B,0
clinical_knowledge,B,B,1
clinical_knowledge,A,D,0
clinical_knowledge,C,B,0
clinical_knowledge,A,D,0
clinical_knowledge,A,C,0
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,A,D,0
clinical_knowledge,D,D,1
clinical_knowledge,A,C,0
clinical_knowledge,A,A,1
clinical_knowledge,D,C,0
clinical_knowledge,D,B,0
clinical_knowledge,D,D,1
clinical_knowledge,C,D,0
clinical_knowledge,C,B,0
clinical_knowledge,D,C,0
clinical_knowledge,D,D,1
clinical_knowledge,B,B,1
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,C,C,1
clinical_knowledge,C,D,0
clinical_knowledge,D,A,0
clinical_knowledge,C,D,0
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,B,B,1
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,B,B,1
clinical_knowledge,A,B,0
clinical_knowledge,A,D,0
clinical_knowledge,C,D,0
clinical_knowledge,A,B,0
clinical_knowledge,C,B,0
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,B,D,0
clinical_knowledge,A,A,1
clinical_knowledge,C,B,0
clinical_knowledge,B,B,1
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,A,B,0
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,C,A,0
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,A,C,0
clinical_knowledge,B,C,0
clinical_knowledge,D,D,1
clinical_knowledge,D,A,0
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,A,D,0
clinical_knowledge,C,A,0
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,B,C,0
clinical_knowledge,A,A,1
clinical_knowledge,A,B,0
clinical_knowledge,A,A,1
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,B,B,1
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,A,A,1
clinical_knowledge,A,C,0
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,D,C,0
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,B,B,1
clinical_knowledge,A,B,0
clinical_knowledge,C,B,0
clinical_knowledge,C,B,0
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,D,D,1
clinical_knowledge,B,B,1
clinical_knowledge,D,B,0
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,C,A,0
clinical_knowledge,A,A,1
clinical_knowledge,C,B,0
clinical_knowledge,D,A,0
clinical_knowledge,A,A,1
clinical_knowledge,D,D,1
clinical_knowledge,A,B,0
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,A,D,0
clinical_knowledge,C,C,1
clinical_knowledge,C,A,0
clinical_knowledge,C,B,0
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,D,D,1
clinical_knowledge,C,D,0
clinical_knowledge,A,A,1
clinical_knowledge,B,B,1
clinical_knowledge,B,B,1
clinical_knowledge,A,D,0
clinical_knowledge,C,C,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,D,C,0
clinical_knowledge,B,D,0
clinical_knowledge,B,B,1
clinical_knowledge,C,C,1
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,C,D,0
clinical_knowledge,C,C,1
clinical_knowledge,A,A,1
clinical_knowledge,A,B,0
clinical_knowledge,D,B,0
clinical_knowledge,C,C,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,A,B,0
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,D,B,0
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,D,A,0
clinical_knowledge,B,A,0
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,B,B,1
clinical_knowledge,B,B,1
clinical_knowledge,C,C,1
clinical_knowledge,A,A,1
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,C,D,0
clinical_knowledge,A,A,1
clinical_knowledge,A,A,1
clinical_knowledge,B,B,1
clinical_knowledge,A,D,0
clinical_knowledge,D,D,1
clinical_knowledge,D,D,1
clinical_knowledge,B,B,1
clinical_knowledge,C,B,0
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,D,C,0
clinical_knowledge,A,D,0
clinical_knowledge,C,C,1
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,D,C,0
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,A,A,1
clinical_knowledge,C,B,0
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,D,D,1
clinical_knowledge,A,A,1
clinical_knowledge,C,C,1
clinical_knowledge,B,B,1
clinical_knowledge,A,D,0
clinical_knowledge,D,D,1
clinical_knowledge,C,C,1
college_biology,D,C,0
college_biology,C,C,1
college_biology,A,A,1
college_biology,B,B,1
college_biology,D,A,0
college_biology,A,A,1
college_biology,B,B,1
college_biology,A,B,0
college_biology,D,D,1
college_biology,C,C,1
college_biology,C,C,1
college_biology,D,D,1
college_biology,C,C,1
college_biology,D,D,1
college_biology,A,A,1
college_biology,C,C,1
college_biology,C,C,1
college_biology,C,C,1
college_biology,C,C,1
college_biology,A,A,1
college_biology,D,D,1
college_biology,C,C,1
college_biology,B,B,1
college_biology,A,A,1
college_biology,D,D,1
college_biology,D,D,1
college_biology,C,A,0
college_biology,D,C,0
college_biology,A,A,1
college_biology,C,C,1
college_biology,A,A,1
college_biology,B,B,1
college_biology,D,B,0
college_biology,D,D,1
college_biology,A,D,0
college_biology,A,A,1
college_biology,B,B,1
college_biology,A,A,1
college_biology,C,C,1
college_biology,A,A,1
college_biology,D,D,1
college_biology,B,B,1
college_biology,C,C,1
college_biology,A,A,1
college_biology,D,D,1
college_biology,D,D,1
college_biology,A,B,0
college_biology,C,C,1
college_biology,B,B,1
college_biology,A,A,1
college_biology,A,A,1
college_biology,C,C,1
college_biology,A,C,0
college_biology,D,A,0
college_biology,D,D,1
college_biology,A,B,0
college_biology,B,C,0
college_biology,C,C,1
college_biology,A,B,0
college_biology,D,D,1
college_biology,B,B,1
college_biology,D,D,1
college_biology,A,A,1
college_biology,B,C,0
college_biology,D,D,1
college_biology,A,A,1
college_biology,B,D,0
college_biology,B,B,1
college_biology,D,D,1
college_biology,B,B,1
college_biology,A,A,1
college_biology,C,C,1
college_biology,A,A,1
college_biology,B,A,0
college_biology,B,B,1
college_biology,A,A,1
college_biology,C,C,1
college_biology,A,A,1
college_biology,A,D,0
college_biology,C,D,0
college_biology,B,C,0
college_biology,D,D,1
college_biology,D,D,1
college_biology,B,C,0
college_biology,D,D,1
college_biology,D,D,1
college_biology,B,B,1
college_biology,B,B,1
college_biology,B,B,1
college_biology,D,B,0
college_biology,D,D,1
college_biology,C,C,1
college_biology,B,B,1
college_biology,D,D,1
college_biology,D,D,1
college_biology,A,B,0
college_biology,C,A,0
college_biology,A,D,0
college_biology,D,D,1
college_biology,B,B,1
college_biology,D,D,1
college_biology,C,C,1
college_biology,A,A,1
college_biology,B,D,0
college_biology,D,D,1
college_biology,C,B,0
college_biology,D,C,0
college_biology,B,A,0
college_biology,A,C,0
college_biology,B,B,1
college_biology,A,C,0
college_biology,A,A,1
college_biology,B,B,1
college_biology,A,A,1
college_biology,A,A,1
college_biology,A,D,0
college_biology,A,C,0
college_biology,C,C,1
college_biology,B,A,0
college_biology,A,A,1
college_biology,C,C,1
college_biology,B,B,1
college_biology,D,D,1
college_biology,A,A,1
college_biology,B,B,1
college_biology,C,C,1
college_biology,D,D,1
college_biology,B,B,1
college_biology,C,C,1
college_biology,B,B,1
college_biology,C,C,1
college_biology,C,D,0
college_biology,C,C,1
college_biology,B,D,0
college_biology,B,B,1
college_biology,D,A,0
college_biology,C,A,0
college_biology,D,D,1
college_biology,A,A,1
college_biology,A,A,1
college_biology,A,A,1
college_biology,C,C,1
college_biology,B,B,1
college_biology,D,D,1
college_chemistry,D,D,1
college_chemistry,C,C,1
college_chemistry,B,D,0
college_chemistry,B,B,1
college_chemistry,B,B,1
college_chemistry,B,B,1
college_chemistry,A,A,1
college_chemistry,D,D,1
college_chemistry,D,C,0
college_chemistry,A,D,0
college_chemistry,C,D,0
college_chemistry,D,B,0
college_chemistry,C,A,0
college_chemistry,A,D,0
college_chemistry,C,D,0
college_chemistry,N/A,C,0
college_chemistry,D,D,1
college_chemistry,D,D,1
college_chemistry,D,C,0
college_chemistry,D,B,0
college_chemistry,D,D,1
college_chemistry,A,D,0
college_chemistry,D,D,1
college_chemistry,C,B,0
college_chemistry,D,D,1
college_chemistry,D,A,0
college_chemistry,A,D,0
college_chemistry,D,D,1
college_chemistry,D,D,1
college_chemistry,C,C,1
college_chemistry,B,B,1
college_chemistry,N/A,C,0
college_chemistry,A,B,0
college_chemistry,D,D,1
college_chemistry,D,A,0
college_chemistry,N/A,C,0
college_chemistry,C,C,1
college_chemistry,C,B,0
college_chemistry,N/A,A,0
college_chemistry,D,A,0
college_chemistry,D,B,0
college_chemistry,A,D,0
college_chemistry,B,B,1
college_chemistry,C,A,0
college_chemistry,D,D,1
college_chemistry,N/A,A,0
college_chemistry,C,A,0
college_chemistry,C,B,0
college_chemistry,A,A,1
college_chemistry,D,D,1
college_chemistry,A,C,0
college_chemistry,C,D,0
college_chemistry,A,B,0
college_chemistry,A,A,1
college_chemistry,A,C,0
college_chemistry,C,C,1
college_chemistry,C,C,1
college_chemistry,A,C,0
college_chemistry,N/A,A,0
college_chemistry,A,A,1
college_chemistry,A,B,0
college_chemistry,N/A,D,0
college_chemistry,A,B,0
college_chemistry,D,D,1
college_chemistry,C,C,1
college_chemistry,D,D,1
college_chemistry,D,D,1
college_chemistry,C,C,1
college_chemistry,D,D,1
college_chemistry,A,D,0
college_chemistry,B,D,0
college_chemistry,D,D,1
college_chemistry,C,A,0
college_chemistry,A,A,1
college_chemistry,B,B,1
college_chemistry,D,C,0
college_chemistry,A,A,1
college_chemistry,A,A,1
college_chemistry,A,A,1
college_chemistry,B,B,1
college_chemistry,B,B,1
college_chemistry,A,B,0
college_chemistry,A,D,0
college_chemistry,B,D,0
college_chemistry,D,D,1
college_chemistry,A,D,0
college_chemistry,N/A,D,0
college_chemistry,D,D,1
college_chemistry,D,D,1
college_chemistry,C,B,0
college_chemistry,A,A,1
college_chemistry,D,D,1
college_chemistry,B,D,0
college_chemistry,A,A,1
college_chemistry,D,D,1
college_chemistry,A,D,0
college_chemistry,A,C,0
college_chemistry,A,C,0
college_chemistry,C,B,0
college_chemistry,D,D,1
college_computer_science,A,A,1
college_computer_science,D,C,0
college_computer_science,B,B,1
college_computer_science,A,A,1
college_computer_science,D,C,0
college_computer_science,B,C,0
college_computer_science,D,C,0
college_computer_science,D,B,0
college_computer_science,C,C,1
college_computer_science,C,C,1
college_computer_science,B,D,0
college_computer_science,B,A,0
college_computer_science,C,A,0
college_computer_science,C,C,1
college_computer_science,D,A,0
college_computer_science,A,D,0
college_computer_science,D,D,1
college_computer_science,D,B,0
college_computer_science,A,A,1
college_computer_science,D,D,1
college_computer_science,D,D,1
college_computer_science,C,B,0
college_computer_science,A,A,1
college_computer_science,B,A,0
college_computer_science,A,A,1
college_computer_science,D,D,1
college_computer_science,C,C,1
college_computer_science,D,D,1
college_computer_science,D,D,1
college_computer_science,B,C,0
college_computer_science,C,C,1
college_computer_science,D,D,1
college_computer_science,D,D,1
college_computer_science,D,A,0
college_computer_science,A,B,0
college_computer_science,A,C,0
college_computer_science,C,C,1
college_computer_science,B,D,0
college_computer_science,D,D,1
college_computer_science,B,B,1
college_computer_science,C,A,0
college_computer_science,A,D,0
college_computer_science,D,A,0
college_computer_science,D,D,1
college_computer_science,D,D,1
college_computer_science,C,C,1
college_computer_science,D,D,1
college_computer_science,A,A,1
college_computer_science,D,A,0
college_computer_science,B,D,0
college_computer_science,D,D,1
college_computer_science,D,B,0
college_computer_science,C,C,1
college_computer_science,C,C,1
college_computer_science,D,A,0
college_computer_science,C,C,1
college_computer_science,D,D,1
college_computer_science,A,D,0
college_computer_science,B,B,1
college_computer_science,D,D,1
college_computer_science,D,D,1
college_computer_science,D,B,0
college_computer_science,D,D,1
college_computer_science,A,A,1
college_computer_science,A,A,1
college_computer_science,C,C,1
college_computer_science,C,A,0
college_computer_science,B,B,1
college_computer_science,C,B,0
college_computer_science,A,A,1
college_computer_science,D,D,1
college_computer_science,D,A,0
college_computer_science,C,D,0
college_computer_science,C,C,1
college_computer_science,A,D,0
college_computer_science,C,C,1
college_computer_science,A,A,1
college_computer_science,D,B,0
college_computer_science,D,C,0
college_computer_science,N/A,D,0
college_computer_science,D,B,0
college_computer_science,B,C,0
college_computer_science,D,D,1
college_computer_science,C,A,0
college_computer_science,A,D,0
college_computer_science,B,D,0
college_computer_science,A,A,1
college_computer_science,C,B,0
college_computer_science,C,C,1
college_computer_science,A,A,1
college_computer_science,D,C,0
college_computer_science,B,C,0
college_computer_science,B,B,1
college_computer_science,C,C,1
college_computer_science,D,D,1
college_computer_science,D,A,0
college_computer_science,A,A,1
college_computer_science,D,D,1
college_computer_science,D,C,0
college_computer_science,D,D,1
college_mathematics,N/A,B,0
